,Poll,Start_Date,End_Date,Approve,Disapprove,Spread,Sample,Population
94,Reuters/IpsosReuters,2016-09-08,2016-09-12,43.0,57.0,-14,1752,A
95,Economist/YouGovYouGov,2016-09-04,2016-09-06,35.0,63.0,-28,1300,A
96,GallupGallup,2016-09-01,2016-09-08,34.0,62.0,-28,A,
97,Reuters/IpsosReuters,2016-09-01,2016-09-05,43.0,57.0,-14,1760,A
98,CNN/ORCCNN/ORC,2016-09-01,2016-09-04,45.0,54.0,-9,786,LV
99,GWU/BattlegroundGWU/Battleground,2016-08-28,2016-09-01,38.0,58.0,-20,1000,LV
100,IBD/TIPPIBD/TIPP,2016-08-26,2016-09-01,40.0,59.0,-19,887,RV
101,FOX NewsFOX News,2016-08-28,2016-08-30,42.0,56.0,-14,1011,RV
102,GallupGallup,2016-08-26,2016-09-01,34.0,61.0,-27,A,
103,PPP (D)PPP (D),2016-08-26,2016-08-28,33.0,60.0,-27,881,LV
104,MonmouthMonmouth,2016-08-25,2016-08-28,29.0,57.0,-28,689,LV
105,USA Today/SuffolkUSA Today,2016-08-24,2016-08-29,31.0,59.0,-28,1000,LV
106,Reuters/IpsosReuters,2016-08-25,2016-08-29,44.0,56.0,-12,1946,A
107,ABC News/Wash PostABC/WP,2016-08-24,2016-08-28,37.0,60.0,-23,RV,
108,Economist/YouGovYouGov,2016-08-27,2016-08-29,34.0,64.0,-30,1300,A
109,GallupGallup,2016-08-19,2016-08-25,33.0,62.0,-29,A,
110,QuinnipiacQuinnipiac,2016-08-18,2016-08-24,33.0,61.0,-28,1498,LV
111,Reuters/IpsosReuters,2016-08-20,2016-08-24,43.0,57.0,-14,1276,RV
112,Economist/YouGovYouGov,2016-08-19,2016-08-23,35.0,62.0,-27,1300,A
113,Reuters/IpsosReuters,2016-08-13,2016-08-17,38.0,62.0,-24,1354,RV
114,Economist/YouGovYouGov,2016-08-14,2016-08-16,32.0,66.0,-34,1300,A
115,GallupGallup,2016-08-10,2016-08-16,31.0,63.0,-32,A,
116,GallupGallup,2016-08-05,2016-08-11,32.0,63.0,-31,A,
117,Reuters/IpsosReuters,2016-08-06,2016-08-10,38.0,62.0,-24,1248,RV
118,Economist/YouGovYouGov,2016-08-06,2016-08-09,34.0,63.0,-29,1287,A
119,BloombergBloomberg,2016-08-05,2016-08-08,33.0,63.0,-30,1007,A
120,MonmouthMonmouth,2016-08-04,2016-08-07,28.0,61.0,-33,683,LV
121,ABC News/Wash PostABC/WP,2016-08-01,2016-08-04,36.0,61.0,-25,815,RV
122,IBD/TIPPIBD/TIPP,2016-07-29,2016-08-04,33.0,66.0,-33,851,RV
123,McClatchy/MaristMcClatchy,2016-08-01,2016-08-03,29.0,66.0,-37,983,RV
124,NBC News/Wall St. JrnlNBC/WSJ,2016-07-31,2016-08-03,25.0,61.0,-36,800,RV
125,FOX NewsFOX News,2016-07-31,2016-08-02,36.0,63.0,-27,1022,RV
126,Reuters/IpsosReuters,2016-07-30,2016-08-03,44.0,56.0,-12,1375,RV
127,Economist/YouGovYouGov,2016-07-30,2016-08-01,33.0,64.0,-31,1300,A
128,CNN/ORCCNN/ORC,2016-07-29,2016-07-31,35.0,61.0,-26,894,RV
129,CBS NewsCBS News,2016-07-29,2016-07-31,31.0,52.0,-21,1131,RV
130,PPP (D)PPP (D),2016-07-29,2016-07-30,36.0,58.0,-22,1276,LV
131,Reuters/IpsosReuters,2016-07-25,2016-07-29,43.0,57.0,-14,1290,RV
132,CBS NewsCBS News,2016-07-22,2016-07-24,34.0,53.0,-19,1363,A
133,CNN/ORCCNN/ORC,2016-07-22,2016-07-24,46.0,51.0,-5,882,RV
134,Economist/YouGovYouGov,2016-07-23,2016-07-24,35.0,61.0,-26,1300,A
135,GallupGallup,2016-07-16,2016-07-23,36.0,59.0,-23,3545,A
136,Reuters/IpsosReuters,2016-07-16,2016-07-20,43.0,57.0,-14,1522,A
137,Economist/YouGovYouGov,2016-07-15,2016-07-17,37.0,59.0,-22,1300,A
138,MonmouthMonmouth,2016-07-14,2016-07-16,33.0,54.0,-21,688,LV
139,CNN/ORCCNN/ORC,2016-07-13,2016-07-16,39.0,59.0,-20,872,RV
140,ABC News/Wash PostABC/WP,2016-07-11,2016-07-14,34.0,62.0,-28,816,RV
141,NBC News/Wall St. JrnlNBC/WSJ,2016-07-09,2016-07-13,27.0,60.0,-33,1000,RV
142,CBS News/NY TimesCBS/NYT,2016-07-08,2016-07-12,30.0,54.0,-24,1358,RV
143,Economist/YouGovYouGov,2016-07-09,2016-07-11,33.0,64.0,-31,1300,A
144,Associated Press-GfKAP-GfK,2016-07-07,2016-07-11,31.0,63.0,-32,1009,A
145,McClatchy/MaristMcClatchy,2016-07-05,2016-07-09,32.0,63.0,-31,1053,RV
146,Reuters/IpsosReuters,2016-07-02,2016-07-06,41.0,59.0,-18,1543,A
147,Economist/YouGovYouGov,2016-07-02,2016-07-04,32.0,65.0,-33,1300,A
148,USA Today/SuffolkUSA Today,2016-06-26,2016-06-29,31.0,60.0,-29,1000,LV
149,PPP (D)PPP (D),2016-06-27,2016-06-28,35.0,58.0,-23,947,RV
150,Reuters/IpsosReuters,2016-06-25,2016-06-29,39.0,61.0,-22,1543,A
151,IBD/TIPPIBD/TIPP,2016-06-24,2016-06-29,36.0,62.0,-26,837,RV
152,Economist/YouGovYouGov,2016-06-24,2016-06-27,33.0,66.0,-33,1288,RV
153,QuinnipiacQuinnipiac,2016-06-21,2016-06-27,34.0,57.0,-23,1610,RV
154,NBC News/Wall St. JrnlNBC/WSJ,2016-06-19,2016-06-23,29.0,60.0,-31,1000,RV
155,Reuters/IpsosReuters,2016-06-18,2016-06-22,42.0,58.0,-16,1585,A
156,Economist/YouGovYouGov,2016-06-18,2016-06-20,35.0,61.0,-26,1293,A
157,CNN/ORCCNN/ORC,2016-06-16,2016-06-19,40.0,59.0,-19,891,RV
158,MonmouthMonmouth,2016-06-15,2016-06-19,28.0,57.0,-29,803,RV
159,GallupGallup,2016-06-13,2016-06-19,31.0,64.0,-33,3560,A
160,Reuters/IpsosReuters,2016-06-11,2016-06-15,41.0,59.0,-18,1323,RV
161,Rasmussen ReportsRasmussen,2016-06-12,2016-06-13,37.0,61.0,-24,1000,LV
162,BloombergBloomberg,2016-06-10,2016-06-13,31.0,66.0,-35,1000,A
163,CBS NewsCBS News,2016-06-09,2016-06-13,26.0,58.0,-32,1048,RV
164,ABC News/Wash PostABC/WP,2016-06-08,2016-06-12,31.0,69.0,-38,RV,
165,FOX NewsFOX News,2016-06-05,2016-06-08,40.0,58.0,-18,1004,RV
166,Economist/YouGovYouGov,2016-06-02,2016-06-05,36.0,61.0,-25,2000,A
167,IBD/TIPPIBD/TIPP,2016-05-31,2016-06-05,35.0,63.0,-28,908,A
168,QuinnipiacQuinnipiac,2016-05-24,2016-05-30,34.0,59.0,-25,1561,RV
169,Economist/YouGovYouGov,2016-05-20,2016-05-23,36.0,61.0,-25,2000,RV
170,ABC News/Wash PostABC/WP,2016-05-16,2016-05-19,40.0,57.0,-17,829,RV
171,NBC News/Wall St. JrnlNBC/WSJ,2016-05-15,2016-05-19,29.0,58.0,-29,1000,RV
172,FOX NewsFOX News,2016-05-14,2016-05-17,41.0,56.0,-15,1021,RV
173,CBS News/NY TimesCBS/NYT,2016-05-13,2016-05-17,26.0,55.0,-29,1109,RV
174,GallupGallup,2016-05-01,2016-05-22,33.0,60.0,-27,10598,A
175,PPP (D)PPP (D),2016-05-06,2016-05-09,34.0,61.0,-27,1222,RV
176,Economist/YouGovYouGov,2016-05-06,2016-05-08,35.0,61.0,-26,2000,A
177,CNN/ORCCNN/ORC,2016-04-28,2016-05-01,39.0,57.0,-18,1001,A
178,IBD/TIPPIBD/TIPP,2016-04-22,2016-04-28,36.0,62.0,-26,903,A
179,The Economist/YouGovEconomist,2016-04-22,2016-04-26,33.0,63.0,-30,2000,A
180,USA Today/SuffolkUSA Today,2016-04-20,2016-04-24,28.0,61.0,-33,1000,LV
181,GWU/BattlegroundGWU/Battleground,2016-04-17,2016-04-20,32.0,65.0,-33,1000,LV
182,NBC News/Wall St. JrnlNBC/WSJ,2016-04-10,2016-04-14,24.0,65.0,-41,1000,RV
183,CBS NewsCBS News,2016-04-08,2016-04-12,25.0,63.0,-38,1098,RV
184,The Economist/YouGovEconomist,2016-04-08,2016-04-11,34.0,63.0,-29,2000,A
185,ABC News/Wash PostABC/WP,2016-04-06,2016-04-10,31.0,67.0,-36,1010,A
186,Associated Press-GfKAP-GfK,2016-03-31,2016-04-04,26.0,69.0,-43,1076,A
187,The Atlantic/PRRIThe Atlantic,2016-03-30,2016-04-03,24.0,70.0,-46,2033,A
188,The Economist/YouGovEconomist,2016-03-26,2016-03-29,35.0,62.0,-27,2000,A
189,PPP (D)PPP (D),2016-03-24,2016-03-26,29.0,63.0,-34,1083,RV
190,FOX NewsFOX News,2016-03-20,2016-03-22,31.0,65.0,-34,1016,RV
191,BloombergBloomberg,2016-03-19,2016-03-22,29.0,68.0,-39,1000,A
192,QuinnipiacQuinnipiac,2016-03-16,2016-03-21,33.0,61.0,-28,1451,RV
193,CBS News/NY TimesCBS/NYT,2016-03-17,2016-03-20,24.0,57.0,-33,1252,A
194,CNN/ORCCNN/ORC,2016-03-17,2016-03-20,31.0,67.0,-36,1001,A
195,MonmouthMonmouth,2016-03-17,2016-03-20,30.0,60.0,-30,848,RV
196,The Economist/YouGovEconomist,2016-03-10,2016-03-12,36.0,61.0,-25,2000,A
197,ABC News/Wash PostABC/WP,2016-03-03,2016-03-06,30.0,67.0,-37,1000,A
198,GallupGallup,2016-02-26,2016-03-03,30.0,63.0,-33,A,
199,CNN/ORCCNN/ORC,2016-02-24,2016-02-27,37.0,60.0,-23,920,RV
200,The Economist/YouGovEconomist,2016-02-24,2016-02-27,36.0,59.0,-23,2000,A
201,NBC News/Wall St. JrnlNBC/WSJ,2016-02-14,2016-02-16,28.0,59.0,-31,800,RV
202,Associated Press-GfKAP-GfK,2016-02-11,2016-02-15,32.0,58.0,-26,1033,A
203,QuinnipiacQuinnipiac,2016-02-10,2016-02-15,37.0,57.0,-20,1342,RV
204,PPP (D)PPP (D),2016-02-02,2016-02-03,30.0,63.0,-33,1236,RV
205,The Economist/YouGovEconomist,2016-02-11,2016-02-15,38.0,57.0,-19,2000,A
206,The Economist/YouGovEconomist,2016-01-27,2016-01-30,36.0,58.0,-22,2000,A
207,ABC News/Wash PostABC/WP,2016-01-06,2016-01-10,35.0,62.0,-27,1000,A
